"filename", "language", "Shell Script", "Python", "C", "C++", "XML", "HTML", "JavaScript", "CSS", "Markdown", "LaTeX", "TeX", "Makefile", "XSL", "comment", "blank", "total"
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d39/_c_c_s_d_s___image___generator_8dir_2src_2synthetic__image__generator_8c_8o_8d.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d39/_c_c_s_d_s___image___generator_8dir_2src_2synthetic__image__generator_8c_8o_8d_source.xml", "XML", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 82
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d3a/_c_make_c_compiler_id_8c.xml", "XML", 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 193
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d3a/_c_make_c_compiler_id_8c_source.xml", "XML", 0, 0, 0, 0, 808, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 809
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d44/a00098.xml", "XML", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 155
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d44/a00098_source.xml", "XML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d50/_c_c_s_d_s___compressor_8dir_2src_2encoder__constants_8c_8o_8d.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d50/_c_c_s_d_s___compressor_8dir_2src_2encoder__constants_8c_8o_8d_source.xml", "XML", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d56/a00707.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d56/a00707_source.xml", "XML", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 94
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d59/file__compare_8py.xml", "XML", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d59/file__compare_8py_source.xml", "XML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/doc/docbook/d1/d5d/a00311.xml", "XML", 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 158
